Date,삼성전자,SK하이닉스,NAVER,카카오,POSCO홀딩스
2023-11-09,67368.8203125,125826.9140625,196509.515625,45482.34765625,433256.09375
2023-11-10,67560.5,128284.46875,193039.359375,45532.21875,421025.1875
2023-11-13,67464.65625,129562.390625,190957.28125,44883.89453125,425258.9375
2023-11-14,67847.9921875,127792.9609375,196906.09375,46230.4140625,443605.3125
2023-11-15,69189.609375,131823.359375,203747.265625,48175.3828125,445957.4375
2023-11-16,69764.59375,130053.8984375,201268.578125,48075.63671875,439371.53125
2023-11-17,69477.1015625,127694.65625,200277.109375,47377.4453125,436078.59375
2023-11-20,69668.7578125,129169.1875,200772.84375,47676.671875,444075.71875
2023-11-21,69764.59375,129759.0,202755.78125,49122.93359375,445957.4375
2023-11-22,69764.59375,129070.890625,205730.1875,50170.22265625,444075.71875
2023-11-23,69381.2734375,127891.2578125,203747.265625,50170.22265625,446898.21875
2023-11-24,68710.46875,125826.9140625,203747.265625,50369.70703125,444546.15625
2023-11-27,68327.140625,128481.0625,204242.984375,49721.3828125,440312.34375
2023-11-28,69668.7578125,129169.1875,205730.1875,50968.15625,449720.78125
2023-11-29,69668.7578125,128186.171875,205730.1875,50369.70703125,454424.90625
2023-11-30,69764.59375,131626.75,206225.9375,50369.70703125,454424.90625
2023-12-01,68997.9453125,130348.8203125,204242.984375,49571.76953125,445957.4375
2023-12-04,69572.9375,128874.28125,208704.59375,50668.9296875,446898.21875
2023-12-05,68231.3046875,123762.5625,211183.28125,50668.9296875,433256.09375
2023-12-06,68710.46875,123467.65625,211679.03125,50369.70703125,424788.53125
2023-12-07,68518.7890625,123467.65625,210687.546875,50369.70703125,420554.75
2023-12-08,69572.9375,125335.40625,215644.90625,51566.609375,443605.3125
2023-12-11,69956.265625,126711.6328125,215644.90625,51965.578125,439371.53125
2023-12-12,70435.3984375,128775.984375,211679.03125,51666.34765625,440312.34375
2023-12-13,69764.59375,128972.6015625,211679.03125,50768.671875,426199.78125
2023-12-14,70052.078125,134379.234375,221098.0,54159.8984375,433726.4375
2023-12-15,70243.734375,137623.1875,224072.40625,54758.3515625,451602.4375
2023-12-18,69860.4296875,137623.1875,221098.0,53760.93359375,460540.40625
2023-12-19,70339.578125,135853.75,220602.25,53661.19140625,466655.84375
2023-12-20,71681.2109375,138114.6875,218619.3125,53561.44921875,466655.84375
2023-12-21,71872.859375,138114.6875,214653.4375,52663.7734375,457717.875
2023-12-22,72735.34375,138213.0,213166.234375,52663.7734375,452072.8125
2023-12-26,73406.1484375,138507.90625,213661.953125,52264.8046875,445486.9375
2023-12-27,75101.7265625,138310.875,221911.484375,53262.22265625,463362.90625
2023-12-28,75583.140625,139394.515625,222906.609375,54159.8984375,469948.78125
2024-01-02,76642.2734375,140281.140625,226389.53125,57750.609375,459129.125
2024-01-03,74138.8828125,134764.453125,220916.375,56453.96875,444546.15625
2024-01-04,73753.7421875,134370.390625,221911.484375,57052.41796875,441723.65625
2024-01-05,73753.7421875,135454.046875,219423.6875,55656.03125,451602.4375
2024-01-08,73657.4609375,133976.359375,225394.40625,57052.41796875,441723.65625
2024-01-09,71924.34375,135355.515625,228379.765625,58548.546875,433256.09375
2024-01-10,70865.2109375,131513.546875,229872.4375,59047.2578125,423847.65625
2024-01-11,70480.078125,133976.359375,230370.0,60643.12890625,424788.53125
2024-01-12,70383.7890625,132104.640625,229374.875,60244.16015625,421966.03125
2024-01-15,71154.0703125,132104.640625,228379.765625,60942.359375,415850.5625
2024-01-16,69902.375,130134.390625,228877.328125,59446.2265625,411616.8125
2024-01-17,68361.828125,129050.765625,217931.015625,57351.64453125,394211.28125
2024-01-18,69035.8125,134173.375,215443.21875,56653.453125,397033.8125
2024-01-19,71924.34375,139197.484375,214448.09375,57451.38671875,389977.53125
2024-01-22,72309.4765625,140478.15625,215940.78125,56254.484375,374924.09375
2024-01-23,72405.7578125,138704.921875,216935.890625,57551.12890625,379157.875
2024-01-24,71250.3515625,139394.515625,216935.890625,56553.70703125,376335.375
2024-01-25,71346.625,135355.515625,212457.859375,55855.515625,376335.375
